Velocity,Acceleration,Road Grade,Fuel Rate,Infeasible
0,3.36,0.03,6.01350279671826,1
0,3.28,-0.03,5.08830803415806,1
0,3.28,-0.027,5.13178406379804,1
0,3.28,-0.024,5.17500986415523,1
0,3.28,-0.021,5.21797783074691,1
0,3.28,-0.018,5.26068036535958,1
0,3.28,-0.015,5.30310987669864,1
0,3.28,-0.012,5.34525878103789,1
0,3.28,-0.009,5.38711950286905,1
0,3.28,-0.006,5.42868447555105,1
0,3.28,-0.003,5.46994614195917,1
0,3.28,0,5.51089695513393,1
0,3.28,0.003,5.55152937892959,1
0,3.28,0.006,5.59183588866244,1
0,3.28,0.009,5.6318089717585,1
0,3.28,0.012,5.67144112840093,1
0,3.28,0.015,5.71072487217675,1
0,3.28,0.018,5.74965273072316,1
0,3.28,0.021,5.78821724637307,1
0,3.28,0.024,5.82641097680012,1
0,3.28,0.027,5.86422649566281,1
0,3.28,0.03,5.90165639324796,1
0,3.2,-0.03,4.95406300657562,1
0,3.2,-0.027,4.99826947060471,1
0,3.2,-0.024,5.04224761334371,1
0,3.2,-0.021,5.08598982855437,1
0,3.2,-0.018,5.12948851548093,1
0,3.2,-0.015,5.17273607949952,1
0,3.2,-0.012,5.21572493276767,1
0,3.2,-0.009,5.25844749487369,1
0,3.2,-0.006,5.30089619348593,1
0,3.2,-0.003,5.34306346500191,1
0,3.2,0,5.38494175519715,1
0,3.2,0.003,5.42652351987382,1
0,3.2,0.006,5.46780122550897,1
0,3.2,0.009,5.5087673499024,1
0,3.2,0.012,5.54941438282413,1
0,3.2,0.015,5.58973482666135,1
0,3.2,0.018,5.62972119706482,1
0,3.2,0.021,5.66936602359468,1
0,3.2,0.024,5.70866185036563,1
0,3.2,0.027,5.74760123669139,1
0,3.2,0.03,5.78617675772843,1
0,3.12,-0.03,4.81772286481306,1
0,3.12,-0.027,4.86259305828215,1
0,3.12,-0.024,4.90725683304921,1
0,3.12,-0.021,4.95170658172088,1
0,3.12,-0.018,4.99593470159953,1
0,3.12,-0.015,5.03993359533251,1
0,3.12,-0.012,5.0836956715616,1
0,3.12,-0.009,5.12721334557223,1
0,3.12,-0.006,5.17047903994272,1
0,3.12,-0.003,5.21348518519338,1
0,3.12,0,5.25622422043537,1
0,3.12,0.003,5.29868859401929,1
0,3.12,0.006,5.34087076418358,1
0,3.12,0.009,5.38276319970237,1
0,3.12,0.012,5.42435838053316,1
0,3.12,0.015,5.46564879846382,1
0,3.12,0.018,5.50662695775921,1
0,3.12,0.021,5.54728537580722,1
0,3.12,0.024,5.58761658376408,1
0,3.12,0.027,5.62761312719918,1
0,3.12,0.03,5.66726756673899,1
0,3.04,-0.03,4.67949128544972,1
0,3.04,-0.027,4.7249585034097,1
0,3.04,-0.024,4.77024119985107,1
0,3.04,-0.021,4.81533176682577,1
0,3.04,-0.018,4.8602226002947,1
0,3.04,-0.015,4.90490610077696,1
0,3.04,-0.012,4.94937467399903,1
0,3.04,-0.009,4.993620731544,1
0,3.04,-0.006,5.03763669150075,1
0,3.04,-0.003,5.08141497911293,1
0,3.04,0,5.12494802742791,1
0,3.04,0.003,5.16822827794534,1
0,3.04,0.006,5.21124818126559,1
0,3.04,0.009,5.25400019773776,1
0,3.04,0.012,5.29647679810735,1
0,3.04,0.015,5.33867046416349,1
0,3.04,0.018,5.38057368938568,1
0,3.04,0.021,5.42217897959003,1
0,3.04,0.024,5.46347885357482,1
0,3.04,0.027,5.50446584376551,1
0,3.04,0.03,5.54513249685899,1
0,2.96,-0.03,4.53957194506493,1
0,2.96,-0.027,4.5855694825667,1
0,2.96,-0.024,4.63140439032864,1
0,2.96,-0.021,4.67706906044837,1
0,2.96,-0.018,4.7225558881458,1
0,2.96,-0.015,4.7678572724122,1
0,2.96,-0.012,4.81296561665928,1
0,2.96,-0.009,4.85787332936835,1
0,2.96,-0.006,4.90257282473935,1
0,2.96,-0.003,4.9470565233399,1
0,2.96,0,4.99131685275411,1
0,2.96,0.003,5.03534624823129,1
0,2.96,0.006,5.07913715333435,1
0,2.96,0.009,5.1226820205879,1
0,2.96,0.012,5.16597331212603,1
0,2.96,0.015,5.20900350033969,1
0,2.96,0.018,5.25176506852356,1
0,2.96,0.021,5.29425051152246,1
0,2.96,0.024,5.33645233637719,1
0,2.96,0.027,5.37836306296972,1
0,2.96,0.03,5.41997522466776,1
0,2.88,-0.03,4.39816852023803,1
0,2.88,-0.027,4.44462967233248,1
0,2.88,-0.024,4.49095008106125,1
0,2.88,-0.021,4.53712213916802,1
0,2.88,-0.018,4.58313824173215,1
0,2.88,-0.015,4.62899078681756,1
0,2.88,-0.012,4.6746721761217,1
0,2.88,-0.009,4.72017481562461,1
0,2.88,-0.006,4.76549111623788,1
0,2.88,-0.003,4.81061349445362,1
0,2.88,0,4.85553437299332,1
0,2.88,0.003,4.9002461814565,1
0,2.88,0.006,4.9447413569692,1
0,2.88,0.009,4.98901234483213,1
0,2.88,0.012,5.03305159916856,1
0,2.88,0.015,5.07685158357177,1
0,2.88,0.018,5.12040477175218,1
0,2.88,0.021,5.16370364818383,1
0,2.88,0.024,5.20674070875051,1
0,2.88,0.027,5.24950846139115,1
0,2.88,0.03,5.29199942674464,1
0,2.8,-0.03,4.25548468754836,1
0,2.8,-0.027,4.30234274928638,1
0,2.8,-0.024,4.34908194862824,1
0,2.8,-0.021,4.39569467956407,1
0,2.8,-0.018,4.4421733376331,1
0,2.8,-0.015,4.48851032057238,1
0,2.8,-0.012,4.53469802896563,1
0,2.8,-0.009,4.58072886689212,1
0,2.8,-0.006,4.62659524257566,1
0,2.8,-0.003,4.67228956903343,1
0,2.8,0,4.71780426472486,1
0,2.8,0.003,4.7631317542003,1
0,2.8,0.006,4.80826446874948,1
0,2.8,0.009,4.85319484704979,1
0,2.8,0.012,4.89791533581425,1
0,2.8,0.015,4.94241839043907,1
0,2.8,0.018,4.98669647565088,1
0,2.8,0.021,5.0307420661535,1
0,2.8,0.024,5.07454764727414,1
0,2.8,0.027,5.11810571560913,1
0,2.8,0.03,5.16140877966898,1
0,2.72,-0.03,4.11172412357526,1
0,2.72,-0.027,4.15891239000775,1
0,2.72,-0.024,4.20600366960896,1
0,2.72,-0.021,4.25299035821585,1
0,2.72,-0.018,4.29986485242799,1
0,2.72,-0.015,4.34661955025601,1
0,2.72,-0.012,4.3932468517704,1
0,2.72,-0.009,4.43973915975023,1
0,2.72,-0.006,4.48608888033203,1
0,2.72,-0.003,4.53228842365867,1
0,2.72,0,4.57833020452809,1
0,2.72,0.003,4.62420664304202,1
0,2.72,0.006,4.66991016525451,1
0,2.72,0.009,4.71543320382022,1
0,2.72,0.012,4.76076819864246,1
0,2.72,0.015,4.80590759752092,1
0,2.72,0.018,4.85084385679901,1
0,2.72,0.021,4.89556944201078,1
0,2.72,0.024,4.9400768285274,1
0,2.72,0.027,4.98435850220301,1
0,2.72,0.03,5.0284069600201,1
0,2.64,-0.03,3.96709050489806,1
